@relation 'out-weka.filters.unsupervised.attribute.Remove-R1_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SVMAttributeEval -X 1 -Y 0 -Z 0 -P 1.0E-14 -T 1.0E-5 -C 0.5 -N 0-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute '0.357rfc+0.356numberOfLinesOfCode+0.35 numberOfMethods+0.344wmc+0.307numberOfPublicMethods...' numeric
@attribute -0.67numberOfAttributes+0.647numberOfPublicAttributes+0.305numberOfPrivateAttributes-0.168numberOfPrivateMethods-0.056rfc... numeric
@attribute -0.361numberOfPublicAttributes+0.342fanIn-0.329numberOfPrivateMethods-0.3numberOfAttributes-0.283numberOfAttributesInherited... numeric
@attribute 0.632numberOfPrivateAttributes+0.531noc-0.387fanOut-0.212cbo+0.209numberOfAttributes... numeric
@attribute -0.517noc-0.382fanIn-0.334numberOfAttributes-0.322numberOfPublicAttributes-0.319cbo... numeric
@attribute -0.454numberOfPublicAttributes+0.393fanOut+0.337numberOfPrivateAttributes-0.33numberOfAttributes-0.327lcom... numeric
@attribute 0.412noc+0.372numberOfAttributesInherited-0.367numberOfMethodsInherited-0.319numberOfPrivateAttributes-0.313numberOfAttributes... numeric
@attribute -0.593fanOut+0.515fanIn+0.369numberOfPrivateMethods-0.265noc+0.202dit... numeric
@attribute '-0.563dit-0.526numberOfMethodsInherited-0.42numberOfAttributesInherited+0.23 numberOfAttributes+0.203numberOfPrivateAttributes...' numeric
@attribute -0.656numberOfAttributesInherited+0.444numberOfMethodsInherited+0.341noc-0.323numberOfPrivateAttributes-0.239fanIn... numeric
@attribute bugs {0,1}

@data
-0.592387,0.028336,-0.155743,0.369425,0.573106,0.001416,-0.395039,-0.029986,-0.20048,0.003601,0
-0.958628,-0.162899,-0.605765,0.257857,0.467427,-0.169863,-1.207422,0.527711,-2.331687,1.586602,0
1.941909,0.476606,0.183709,-1.289405,-2.386756,0.608483,-1.188832,1.355239,-1.425162,-1.04417,1
0.515807,0.27096,0.036743,1.423589,1.182363,0.029779,-0.813953,-0.109732,0.984615,-0.382395,0
0.002714,0.348694,-1.237043,-0.350605,-0.347188,-0.298283,0.561301,-0.688022,-0.479671,-1.266724,0
-1.330595,-0.126636,-0.556783,0.297622,0.449051,-0.233928,-0.929502,0.728602,-1.99707,1.395004,0
-1.296558,-0.118419,-0.937641,0.083019,0.063472,-0.407446,0.547188,0.211498,-2.223537,-0.917339,0
-1.462672,-0.046112,-1.34973,0.560192,0.146358,-0.382445,0.273791,0.447553,-2.956534,-0.826172,0
-0.252987,0.149838,-0.013808,-0.264148,0.15341,-0.529805,0.353133,0.012538,0.658252,-0.353964,0
-1.470679,-0.082022,0.226237,-0.137893,0.407557,-0.354461,0.136892,0.570691,0.09663,0.27317,0
-0.39165,0.406453,0.522744,1.519863,0.33516,0.498375,-0.219326,-0.377425,1.430763,-0.110543,0
-0.290576,-0.08622,-0.342107,-0.742275,0.153973,0.414022,-0.275385,0.058266,0.031992,0.750215,0
-0.124126,-0.031257,0.794387,-0.47633,-0.14301,0.130552,0.444908,0.206599,1.206136,0.253825,0
-1.199685,-0.06987,0.299142,-0.324477,0.369355,-0.261402,0.21978,0.392905,0.574238,0.224704,0
1.266987,0.213216,-0.565198,1.91169,0.81908,0.614766,-1.659997,-0.286604,0.078068,-0.868163,0
-1.248438,-0.124688,-0.267637,-0.084285,0.324577,-0.300903,0.067787,0.591003,-0.558977,0.286969,1
-1.352506,-0.099033,-1.178295,0.230844,0.082926,-0.396232,0.333105,0.342449,-2.900461,-0.724594,0
-0.776002,-0.055763,0.248087,-0.538404,0.200156,-0.129881,0.045127,-0.007293,0.208813,0.076088,1
-0.624937,-0.027531,0.493747,-0.511569,0.396249,-0.327779,0.272476,0.068355,1.235579,0.263034,0
0.652728,0.385709,3.701936,3.350237,-5.223513,1.743779,2.887492,-0.784687,0.437366,2.122984,0
-1.197009,-0.077348,-1.020449,-0.072634,-0.071796,-0.137802,0.342704,0.147266,-2.414303,-0.783675,0
-0.435093,0.132563,0.951468,-0.56282,-0.122687,0.049748,-0.172656,0.304271,1.223053,-0.227831,0
-0.367047,-0.003795,0.38003,-0.96694,0.174901,0.210065,-0.041093,-0.41941,0.688562,0.269069,0
-0.761616,0.029508,0.577358,-0.424542,0.368352,-0.57304,0.301587,0.081246,1.329466,0.158689,0
-0.328829,0.405559,2.446401,4.766297,-4.046295,1.406746,3.272873,-2.100426,0.47002,2.788049,0
-1.100513,-0.058076,0.917214,-0.087516,0.255721,-0.337357,0.620093,0.03274,1.226746,0.28674,0
-0.630192,-0.024782,-0.204437,-0.859238,-0.088758,0.259452,0.443427,-0.614202,-0.334307,-0.65751,1
-0.337544,0.148807,-0.244793,-0.61286,-0.061481,-0.508627,0.325072,-0.212274,0.366823,-0.120311,0
-0.919435,-0.008056,-0.215838,-0.360943,0.134665,-0.238144,0.113178,0.099825,-0.349244,0.113059,0
-0.858999,-0.015781,-0.270289,-0.136336,0.031007,-0.020955,-0.957484,0.577653,-1.346528,1.067626,0
-0.431695,-0.110959,0.05268,-0.812697,0.057901,0.452943,-0.675468,-0.312315,-0.372652,0.691604,0
-0.525676,-0.093744,0.586562,-0.345517,-0.250935,-0.36518,0.313205,-0.148779,1.342219,0.27481,1
-0.921949,-0.012938,-1.077971,-0.245522,-0.114721,-0.190874,0.373519,-0.291192,-2.141076,-0.848931,1
-0.84406,0.189753,0.312743,0.355471,0.624085,0.162029,-0.346002,-0.014184,1.040263,-0.180142,0
-0.88685,-0.002572,-0.078344,0.233463,0.50481,-0.108961,-0.230934,0.141335,-0.233824,0.090425,0
-1.376515,0.069372,0.008533,-0.140376,0.169149,-0.655239,0.060312,0.545196,0.312293,0.240648,0
-1.434392,-0.070525,-0.661546,-0.057272,0.026518,-0.384679,0.834817,0.02572,-1.470848,-1.173253,0
-0.323803,0.346831,0.780141,0.868362,-2.418305,-0.065754,1.54791,-0.051586,-0.498225,-0.984926,0
-0.310687,0.195628,0.228803,-0.715147,-0.055725,-0.459856,-0.190147,-0.221073,0.892677,0.266059,0
-1.098041,0.096147,0.555325,-0.426576,0.150935,-0.595065,0.218175,0.171157,1.404991,0.101125,0
-0.818601,-0.103326,-0.010488,-0.478428,0.303261,0.162055,-0.27949,0.158922,-0.198866,0.722572,0
0.235011,-0.196468,0.065731,-0.685799,0.63375,0.564948,0.552229,0.135799,1.414652,0.30557,1
-1.094319,-0.025548,0.018717,0.051223,0.391962,-0.167805,-0.128747,0.294026,-0.310899,0.17805,0
-1.274328,0.008604,-1.188667,0.641847,-0.731547,-0.129828,0.638901,0.047982,-3.014745,-0.398167,0
-0.856496,0.041627,0.157127,0.273595,-0.764535,-0.222607,1.208482,-0.117538,-0.935955,-1.124008,0
-0.49296,0.344233,0.02262,0.04469,0.240312,-0.318465,-0.238585,-0.099759,1.604671,-0.034359,0
-0.638223,0.030302,-0.169268,0.34755,0.527799,0.049995,-0.407712,-0.008893,-0.185882,-0.003503,0
0.497397,-0.127983,-0.604579,0.030138,0.07395,0.41108,-1.58991,-0.206691,-3.3001,1.991738,0
-1.347033,-0.064824,0.035868,-0.219944,0.22409,-0.340043,0.52102,0.040592,-0.15862,-0.450294,1
-0.8977,0.242303,0.053123,0.696673,0.690654,0.202714,-0.52538,0.1559,0.710396,-0.200434,0
-0.176337,0.146968,-0.369718,0.967707,0.760476,0.223023,-0.767807,-0.191828,-0.008176,-0.301221,0
-1.181966,-0.057441,-0.66518,-0.29483,-0.055829,-0.159783,0.725946,-0.173308,-1.409032,-1.116118,0
-0.845855,0.020176,0.384837,-0.458598,0.296449,-0.040695,0.488337,-0.225608,0.976452,-0.449302,0
-0.535475,0.032266,-0.826944,0.022184,0.213885,-0.371517,-1.035004,0.41267,-1.876487,1.440308,0
-0.974823,-0.076902,0.386087,-0.000208,-0.017349,-0.065663,-0.074366,0.209388,-0.254355,0.62464,0
-1.375073,-0.116635,0.039662,-0.125786,0.34012,-0.326522,0.112049,0.462151,-0.239884,0.188824,1
3.362366,1.142018,-1.654831,3.761757,2.002583,2.469305,-2.162383,-0.170471,1.708051,-1.715652,0
-0.678816,-0.008599,0.655674,-0.639175,0.236729,-0.101697,-0.044654,-0.05348,0.719065,0.16696,0
-0.640686,-0.067893,-0.120324,-0.094955,0.030903,0.251117,-0.594858,-0.149778,-1.273813,1.171568,0
-0.529215,0.038308,0.00415,0.239249,0.547589,0.068742,-0.355618,-0.206102,0.171112,-0.05157,0
-0.672601,0.091865,0.922867,-0.441511,0.095144,-0.569677,0.075447,0.296206,1.224889,-0.043744,0
-0.592612,-0.23453,0.667625,-0.25583,0.564387,-0.615862,0.18607,0.034824,0.69247,0.143044,1
-0.662374,0.152521,0.687592,0.018026,0.474915,0.086842,-0.134489,-0.008191,1.391218,-0.270603,0
-0.641737,0.221507,0.785343,-0.161685,-0.449963,-0.086409,-0.088031,0.169943,1.184981,0.12617,0
-0.587785,0.030257,-0.173201,0.345873,0.540642,0.035424,-0.390918,-0.008396,-0.192254,0.003396,0
-0.041355,0.15058,0.082587,-0.646952,0.050885,-0.723737,0.329216,0.058978,1.478783,0.294923,0
-0.642058,0.359271,-0.058749,1.14403,0.873652,0.320309,-0.78207,0.081821,0.765053,-0.359237,0
-0.326698,0.028645,-0.829552,-0.739266,-0.350855,0.160685,0.41648,-0.496788,-1.540857,-0.958643,0
-1.452419,-0.059418,-0.338647,-0.179007,0.054392,-0.437037,1.103934,-0.046421,-0.689615,-1.378186,0
-1.667658,-0.16746,-1.233766,0.266292,0.047078,-0.463818,0.53864,0.451831,-2.540227,-0.839845,0
-1.068992,-0.014655,0.298747,-0.2638,0.354707,-0.522514,0.315749,0.179136,0.525191,0.069197,0
-0.574681,0.001487,0.548889,-0.429155,0.384209,-0.52011,0.351474,0.189431,1.33257,0.170355,0
1.421612,-0.120448,-0.454889,-1.427337,0.125617,1.0994,0.013848,-0.876025,0.413339,0.33388,1
-0.952361,0.190288,0.569867,0.48111,0.694912,-0.057389,-0.162872,0.121122,1.447576,-0.287294,0
-1.392233,-0.076096,0.455656,-0.19998,0.441463,-0.346472,0.092983,0.368084,0.534134,0.396674,0
-0.93054,-0.006327,-0.072664,0.285902,0.531244,-0.166039,-0.194603,0.198376,-0.223799,0.088892,0
-0.152471,0.082979,0.129974,-0.612001,-0.274912,0.208779,-0.138242,-0.417483,0.273502,0.805617,1
-0.919354,0.081982,0.690882,-0.102948,0.451939,-0.070002,0.078733,0.126204,1.379,-0.147948,1
-1.169813,-0.065076,-1.075065,0.239784,-0.306582,-0.057298,0.47088,0.00862,-2.807362,-0.566589,1
0.531114,-0.01382,0.760523,-0.044858,-0.144571,-0.057437,0.054285,0.022829,1.156557,0.046424,0
-0.196315,0.586687,-0.54489,0.869748,0.443366,0.076319,-0.682517,-0.107294,1.684245,-0.428055,0
-0.670764,-0.175726,-0.371363,-0.000784,0.353409,-0.030402,-0.468091,0.075274,-0.934289,0.456585,0
-0.796179,0.061097,0.6862,-0.414164,0.358128,-0.659401,0.222094,-0.015702,1.279665,0.121662,0
0.085226,-0.249563,0.460212,-0.720253,-0.195699,0.485112,0.354792,-0.391236,1.05607,0.157447,1
-0.589053,0.030582,-0.173026,0.345905,0.540116,0.035183,-0.391596,-0.008179,-0.192056,0.002927,0
-1.139876,-0.028426,1.041396,0.210007,-0.020794,-0.279342,0.761057,-0.112949,1.111328,0.463826,0
0.299803,-0.126891,0.866685,-0.804695,-0.648127,0.713496,0.219681,-0.93102,1.017826,0.461968,0
-0.105884,0.110548,-0.281723,0.053808,-1.136946,0.600512,0.539051,-0.198315,-1.9986,-1.10128,0
-0.02616,0.048906,-0.259529,0.298421,0.809454,0.922545,-0.107177,0.17203,1.37874,-0.155871,0
-0.270634,0.152163,0.152832,0.010823,0.571185,0.150142,-0.474858,-0.293038,0.723327,0.176014,0
-0.868587,-0.010198,0.674663,-0.307812,0.484796,-0.64136,0.373471,0.173633,1.305827,0.141258,0
2.502272,0.176952,1.859891,-1.441806,-1.56215,1.428855,-1.155975,1.077447,0.662854,-1.045672,1
-1.302699,-0.041443,0.501505,-0.318016,0.425787,-0.404524,0.248084,0.219002,0.880387,0.222226,0
0.540426,0.054448,-0.525605,-0.527266,-0.010774,0.035267,-1.037442,0.025131,-1.211909,1.05585,1
0.113088,0.140429,-0.070519,0.110186,-1.624229,0.61448,1.262743,-1.159054,-1.362999,-0.576245,1
-0.773052,-0.105012,-0.080967,-0.376319,0.238652,0.179767,-0.49845,0.327461,-0.728845,0.754629,0
-0.302374,-0.198594,0.140304,-0.834609,0.398149,0.499612,0.26194,0.050141,0.841249,0.3813,0
7.588207,-0.651485,-4.916913,-0.332166,-1.569293,-4.541007,1.363822,0.323748,2.713108,0.849378,0
-0.427036,0.096499,-0.06616,-0.480511,-0.553346,-0.275651,0.585114,0.153882,-0.915025,-1.530702,0
8.051069,0.878493,-1.479645,-4.932487,-2.426777,3.239818,-2.241585,-3.9095,0.820869,0.639283,1
0.920955,0.194297,-0.520271,-0.546016,-1.506451,0.030786,0.617998,-0.918459,-0.988265,-0.89334,1
-0.586346,0.040649,0.184193,0.122798,0.13211,0.083165,-0.450128,0.50297,-0.349389,-0.081492,0
-1.209676,-0.061643,0.50211,-0.341378,0.354693,-0.285707,0.243775,0.380575,0.894609,0.194912,0
-1.009592,-0.085435,0.7064,-0.443349,0.389645,-0.322216,0.315402,0.152335,1.29495,0.104141,0
7.408018,0.917659,-3.737323,-1.516658,-0.753611,-0.357836,0.348235,-1.335577,2.308268,0.954505,1
-1.021665,0.126119,0.255693,0.303934,0.489667,0.036357,-0.317611,0.355888,0.562922,-0.045102,0
-1.026134,0.043416,0.560715,-0.114899,0.519002,0.034889,0.105586,0.048509,1.434265,-0.08771,0
1.66199,0.032925,0.287833,-1.076853,-0.625436,0.990456,-1.828168,0.240678,-2.003681,0.88012,1
1.270795,0.194151,1.866923,-0.22963,-1.70287,0.634993,-0.131187,0.605525,-0.344433,-0.054104,1
-1.247121,-0.051016,0.078917,-0.163517,0.343858,-0.351373,-0.023083,0.41993,-0.206365,0.327918,0
-1.398382,-0.056222,-0.358739,-0.230289,0.026774,-0.380522,1.074535,-0.103312,-0.718157,-1.378067,0
-1.507528,-0.0758,-0.809769,-0.008073,0.006865,-0.364992,0.780273,0.164373,-1.743214,-1.123723,0
-1.13311,0.064368,0.476986,-0.093826,0.314904,-0.390531,0.139065,0.325066,0.888556,-0.095514,0
-0.934927,-0.08597,0.485867,-0.38166,0.245697,-0.118767,-0.215478,0.254853,0.258924,0.43527,0
-1.208169,0.09986,0.036612,0.529486,0.639882,-0.139344,-0.293687,0.49104,0.190848,0.062415,1
0.593985,-0.02879,-1.841602,-0.681659,-0.210644,0.258785,0.246908,-0.442643,-3.303698,-0.388246,1
1.2525,-0.075939,-1.095733,-1.032725,0.015612,0.199877,0.333096,-0.195499,-0.281626,0.512428,0
-1.078886,-0.017866,0.056804,0.027707,0.335008,-0.13847,-0.141415,0.339043,-0.296167,0.133455,0
-1.082521,0.067802,0.495357,0.000985,0.473542,-0.071265,-0.023393,0.199556,0.998756,-0.062514,0
-0.717707,-0.071297,1.116534,-0.556042,0.020634,-0.157802,0.032838,0.423046,1.119117,-0.125158,0
3.872907,0.162275,-0.967685,-0.244167,0.119089,1.648078,-2.8996,-1.509449,-4.414236,1.957467,1
-1.385198,-0.072406,0.52445,-0.242895,0.441802,-0.352118,0.171786,0.356236,0.704899,0.313868,0
-1.094748,0.115327,0.185791,0.333271,0.583088,-0.011753,-0.266783,0.267835,0.58439,0.004955,0
7.266667,-0.262563,4.688362,2.219604,5.505086,-5.879041,-1.367163,-2.076436,-4.032193,1.426044,1
-0.69127,-0.009109,-0.217427,0.716326,-0.766572,-0.106963,1.093872,-0.36547,-2.113989,-0.492431,0
1.060623,0.501058,0.27096,-0.569158,-1.558675,-0.139038,0.143466,-1.146096,1.267108,0.712307,1
1.403294,-0.080608,1.285254,0.108001,-1.743965,-0.030283,0.659104,-0.609704,0.524804,-0.090278,1
-1.394158,-0.041447,-1.447792,0.192677,-0.098379,-0.358126,0.173051,0.376908,-2.968533,-0.539182,0
-0.576251,0.004411,0.162907,-0.742268,0.133974,0.130237,-0.322788,-0.233679,0.284509,0.587192,0
-0.958722,-0.044715,-0.631753,-0.55012,-0.093208,0.015548,0.748701,-0.472597,-1.217388,-1.210596,0
-0.001216,-0.164121,-0.037136,-0.181984,0.064564,-0.659727,0.244533,0.001145,0.684188,-0.418775,0
1.080713,-0.418336,0.362897,-0.893622,-0.077823,0.632697,-0.036697,-0.699332,0.519894,0.555383,0
-1.100417,-0.049758,-0.514778,-0.329065,-0.013567,-0.302187,1.074079,-0.138533,-0.703784,-1.318704,0
-1.137815,0.111601,0.191166,0.385585,0.609611,-0.068923,-0.230075,0.325058,0.594448,0.003551,0
-0.44546,-0.182891,0.405676,-0.413755,-0.085302,0.279716,0.213166,0.02988,0.444825,0.385111,0
-0.480459,-0.04019,0.738286,-0.086118,0.087919,-0.003221,0.209712,-0.054389,0.814992,0.19303,0
-0.37025,0.086288,-0.301703,0.794504,0.670342,0.134744,-0.649728,-0.091704,-0.052718,-0.215087,0
8.476302,-1.555643,5.831252,4.443676,-11.497963,3.51728,-1.38824,1.720973,0.296067,-0.872661,0
-0.99113,-0.407502,0.742104,-0.034521,0.044811,-0.449557,0.423938,-0.06618,1.343975,0.233166,1
-0.435133,0.139933,-0.824015,-0.722446,-0.349761,-0.276731,0.697707,-0.6996,-0.722931,-1.144825,0
-0.382106,-0.002187,-0.180521,0.045843,0.505675,0.000238,-0.179088,0.002443,-0.285425,0.169106,1
-0.772001,0.003172,1.195439,-0.574043,-0.048838,-0.100453,0.069485,0.598092,1.130491,-0.183437,0
2.349843,0.259764,-0.003572,-1.524235,0.053526,1.790528,-0.756228,-1.639601,1.117911,-0.00684,1
-1.134273,-0.087462,0.688166,-0.479168,0.437367,-0.199165,0.392235,0.157324,1.296436,0.131946,0
-0.49901,0.201199,0.262602,0.579221,0.267197,0.257219,0.099474,-0.092323,0.816697,-0.214895,0
-0.973455,0.12822,0.618194,0.20986,0.655253,-0.117898,0.01001,0.033899,1.458041,-0.22034,0
2.095228,0.094619,-0.855514,0.170342,-1.95963,0.7927,1.349892,-1.07642,-2.935687,0.146816,1
-1.089359,0.042534,0.30137,0.049747,0.114983,-0.159721,-0.384492,0.763948,-0.105598,0.23683,0
-1.38747,-0.013927,-0.960492,0.90727,0.528967,-0.066306,-1.386091,0.944614,-2.502227,1.398456,0
-0.934934,0.015595,0.3773,0.011953,0.527379,-0.060549,-0.08792,0.103077,0.863741,0.078902,0
-0.7409,0.13527,0.568484,0.09058,0.625532,-0.03224,-0.000003,-0.060911,1.43303,-0.18971,0
0.335351,-0.229465,1.164741,-0.412037,-0.112264,-0.161982,0.110668,-0.150309,0.886966,0.182794,0
0.160709,0.147879,1.319109,-0.720588,-0.624435,-0.085421,-0.29075,1.061115,0.992925,-0.311363,0
-0.356427,0.082715,0.226786,-0.037927,-0.369934,0.309598,-1.370557,1.097378,-1.467813,0.628199,0
0.067942,-0.039345,0.129154,0.600118,-1.254127,0.927927,-0.447691,0.05444,-2.11643,1.816397,0
2.709715,0.710026,-0.553565,0.965462,0.574804,2.908519,-2.169962,-1.423547,1.984077,-1.35442,1
-1.397432,-0.116623,-0.007568,0.344264,0.168251,-0.343504,0.114404,0.650243,-0.815013,0.616012,0
-0.454817,0.05327,1.472088,-0.109978,-0.779776,0.08342,0.347139,0.385972,1.055124,0.096668,0
-0.760851,0.074355,0.63309,-0.002433,0.476268,-0.131873,-0.034176,0.221704,0.916895,-0.143024,0
-0.63631,-0.023961,-1.438291,-0.239771,-0.167974,-0.096844,0.287614,-0.079961,-2.711914,-0.593299,0
-1.039734,-0.047914,0.418253,-0.582836,0.253077,-0.043024,0.165534,-0.06755,0.574918,0.045562,1
-0.979257,-0.009548,-0.065415,0.338906,0.556267,-0.22323,-0.161136,0.255126,-0.21351,0.085909,0
-0.51982,0.084303,0.602458,-0.621413,0.04866,-0.305332,-0.067904,0.065669,0.841007,0.085101,0
-1.10727,-0.029779,0.632098,0.086195,0.498525,-0.244505,0.025202,0.176267,1.356678,-0.091422,0
0.513643,-0.022991,-0.611877,-0.521078,0.31576,0.156256,0.251325,-0.230931,-0.491723,0.073218,1
-0.619559,0.145118,1.211356,0.695432,-0.421438,0.179871,0.60568,-0.195981,1.217832,0.29107,0
3.829105,0.524099,1.779021,-1.557657,-4.090902,1.626541,-1.366048,1.723647,-1.411358,-1.51826,1
6.016991,1.023516,0.733892,-0.461104,-2.456765,2.447923,-2.348443,1.135566,0.875042,-2.674659,1
-0.044225,0.20185,1.136553,1.262679,-1.659245,0.531883,0.791102,-0.650109,-0.24571,0.967827,0
-0.495755,0.049872,-0.232108,0.67308,0.676653,-0.047858,-0.424529,0.064736,-0.110771,-0.098734,0
0.354304,0.127358,0.665828,-0.365701,-1.254806,0.238312,-0.105971,0.205718,0.20112,0.183104,0
3.411663,-0.191272,3.374692,2.319785,-4.824359,1.529254,2.039059,-1.419418,0.180088,1.852828,0
1.839365,-0.507805,-0.975486,-1.276268,0.02418,1.924202,0.164709,-0.35143,-0.215119,1.344389,1
-0.347884,0.058451,-0.119972,0.676513,0.573901,0.002571,-0.587023,0.184532,-0.257678,-0.100486,0
-1.051873,-0.035748,0.442656,-0.312751,0.322302,-0.347362,0.106371,0.374006,0.425548,0.187934,0
-0.340805,-0.182278,-0.07063,-0.762409,0.155745,0.522307,-0.49273,-0.112268,-0.250634,0.731764,0
-1.039107,-0.098,-1.039037,-0.235772,-0.060507,0.019832,0.459734,-0.046439,-2.079666,-0.791904,0
0.042636,0.0909,0.288643,-0.356199,-0.533025,-0.14383,0.540224,0.186494,0.411577,-0.390647,1
-0.070903,0.251438,0.065296,-0.072727,0.495305,0.868916,-0.457025,-0.598221,1.588815,-0.25841,0
-0.496459,-0.56865,-0.114045,0.591306,0.180954,-0.371543,-0.613957,0.065764,0.384856,-0.250676,0
-0.819372,0.000496,-0.094439,0.176963,0.481595,-0.053309,-0.253213,0.089328,-0.24323,0.098221,0
0.088737,0.202922,-0.00869,-0.216756,0.208658,0.133767,-0.474408,-0.366061,1.151987,-0.067659,0
0.635003,0.130147,0.74647,-0.514937,-0.40362,-0.307323,-0.809353,0.634292,-0.494954,0.12641,0
